Food,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs
Cows' milk,976,67.62295082,3.278688525,4.098360656,3.68852459,0,4.918032787
Milk skim,984,36.58536585,3.658536585,#VALUE!,#VALUE!,0,5.284552846
Buttermilk,246,51.62601626,3.658536585,2.032520325,1.62601626,0,5.284552846
"Evaporated, undiluted",252,136.9047619,6.349206349,7.936507937,7.142857143,0,9.523809524
Fortified milk,"1,419",97,6.272022551,2.959830867,1.62085976,0.098661029,8.386187456
Powdered milk,103,500,26.21359223,27.18446602,23.30097087,0,37.86407767
"skim, instant",85,341.1764706,35.29411765,#VALUE!,#VALUE!,0,49.41176471
"skim, non-instant",85,341.1764706,35.29411765,#VALUE!,#VALUE!,1.176470588,49.41176471
Goats' milk,244,67.62295082,3.278688525,4.098360656,3.278688525,0,4.508196721
(1/2 cup ice cream),540,127.7777778,4.444444444,4.444444444,4.074074074,0,12.96296296
Cocoa,252,93.25396825,3.174603175,4.365079365,3.968253968,0,10.31746032
skim. milk,250,51.2,7.2,1.6,1.2,0.4,5.2
(cornstarch),248,110.8870968,3.629032258,4.032258065,3.629032258,0,16.12903226
Custard,248,114.9193548,5.241935484,5.64516129,4.435483871,0,11.29032258
Ice cream,188,159.5744681,3.191489362,9.574468085,8.510638298,0,15.42553191
Ice milk,190,144.7368421,4.736842105,5.263157895,4.736842105,0,16.84210526
Cream or half-and-half,120,141.6666667,3.333333333,12.5,10.83333333,0,4.166666667
or whipping,119,361.3445378,1.680672269,36.97478992,22.68907563,0.840336134,2.521008403
Cheese,225,106.6666667,13.33333333,4.888888889,4.444444444,0,2.666666667
uncreamed,225,86.66666667,16.88888889,#VALUE!,#VALUE!,0,2.666666667
Cheddar,17,411.7647059,23.52941176,35.29411765,29.41176471,0,#VALUE!
"Cheddar, grated cup",56,403.5714286,25,33.92857143,30.35714286,0,1.785714286
Cream cheese,28,375,7.142857143,39.28571429,35.71428571,0,3.571428571
Processed cheese,28,375,25,32.14285714,28.57142857,0,#VALUE!
Roquefort type,28,375,21.42857143,32.14285714,28.57142857,0,#VALUE!
Swiss,28,375,25,28.57142857,25,0,#VALUE!
Eggs raw,100,150,12,12,10,0,#VALUE!
Eggs Scrambled or fried,128,171.875,10.15625,12.5,10.9375,0,0.78125
Yolks,34,352.9411765,17.64705882,29.41176471,23.52941176,0,#VALUE!
Butter,14,714.2857143,#VALUE!,78.57142857,71.42857143,0,#VALUE!
Butter,112,100.8928571,101.7857143,102.6785714,103.5714286,104.4642857,105.3571429
Butter,112,100.8928571,101.7857143,102.6785714,103.5714286,104.4642857,105.3571429
Hydrogenated cooking fat,100,665,0,100,88,0,0
Lard,110,901.8181818,0,100,83.63636364,0,0
Margarine,112,719.6428571,#VALUE!,81.25,67.85714286,0,#VALUE!
"Margarine, 2 pat or",14,714.2857143,#VALUE!,78.57142857,64.28571429,0,#VALUE!
Mayonnaise,15,733.3333333,#VALUE!,80,33.33333333,0,#VALUE!
Corn oil,14,892.8571429,0,100,35.71428571,0,0
Olive oil,14,892.8571429,0,100,21.42857143,0,0
Safflower seed oil,14,892.8571429,0,100,21.42857143,0,0
French dressing,15,400,#VALUE!,40,13.33333333,0,13.33333333
Thousand Island sauce,15,500,#VALUE!,53.33333333,20,0,6.666666667
Salt pork,60,783.3333333,5,91.66666667,0,0,0
Bacon,16,593.75,25,50,43.75,0,6.25
Beef,85,288.2352941,27.05882353,18.82352941,17.64705882,0,0
Hamburger,85,288.2352941,24.70588235,20,17.64705882,0,0
Ground lean,85,217.6470588,28.23529412,11.76470588,10.58823529,0,0
Roast beef,85,458.8235294,18.82352941,42.35294118,41.17647059,0,0
Steak,85,388.2352941,23.52941176,31.76470588,29.41176471,0,0
"Steak, lean, as round",85,258.8235294,28.23529412,14.11764706,12.94117647,0,0
Corned beef,85,217.6470588,25.88235294,11.76470588,10.58823529,0,0
Corned beef hash canned,85,141.1764706,14.11764706,9.411764706,8.235294118,#VALUE!,7.058823529
Corned beef hash Dried,56,205.3571429,33.92857143,7.142857143,7.142857143,0,0
Pot-pie,227,211.4537445,7.929515419,12.33480176,11.01321586,#VALUE!,14.0969163
Corned beef hash Stew,235,78.72340426,6.382978723,4.255319149,3.829787234,#VALUE!,6.382978723
chicken,85,217.6470588,27.05882353,10.58823529,8.235294118,0,0
"Fried, breast or leg and thigh chicken",85,288.2352941,29.41176471,17.64705882,12.94117647,0,0
Roasted chicken,100,290,25,20,16,0,0
"Chicken livers, fried",100,140,22,14,12,0,2.3
"Duck, domestic",100,370,16,28,0,0,0
"Lamb, chop, broiled",115,417.3913043,20.86956522,30.43478261,28.69565217,0,0
Leg roasted,86,365.1162791,23.25581395,16.27906977,16.27906977,0,0
"Shoulder, braised",85,335.2941176,21.17647059,27.05882353,24.70588235,0,0
"Pork, chop, 1 thick",100,260,16,21,18,0,0
Ham pan-broiled,85,341.1764706,18.82352941,25.88235294,22.35294118,0,0
"Ham, as ",57,298.245614,22.80701754,22.80701754,19.29824561,0,0
"Ham, canned, spiced",57,289.4736842,14.03508772,24.56140351,21.05263158,0,1.754385965
Pork roast,85,364.7058824,24.70588235,28.23529412,24.70588235,0,0
Pork sausage,100,475,18,44,40,0,0
Turkey,100,265,27,15,0,0,0
Veal,85,217.6470588,27.05882353,10.58823529,9.411764706,0,0
Roast,85,358.8235294,15.29411765,16.47058824,15.29411765,0,0
Clams,85,102.3529412,14.11764706,1.176470588,0,0,2.352941176
Cod,100,170,28,5,0,0,0
Crab meat,85,105.8823529,16.47058824,2.352941176,0,0,1.176470588
Fish sticks fried,112,178.5714286,16.96428571,8.928571429,4.464285714,0,7.142857143
Flounder,100,200,30,8,0,0,0
Haddock,85,158.8235294,18.82352941,5.882352941,4.705882353,0,7.058823529
Halibut,100,182,26,8,0,0,0
Herring,100,211,22,13,0,0,0
Lobster,100,92,18,1,0,0,#VALUE!
Mackerel,85,182.3529412,21.17647059,10.58823529,0,#VALUE!,0
Oysters,230,100.4347826,100.8695652,101.3043478,101.7391304,102.173913,102.6086957
Oyster stew,85,147.0588235,22.35294118,7.058823529,1.176470588,0,0
Salmon,85,141.1764706,20,5.882352941,1.176470588,0,0
Sardines,85,211.7647059,25.88235294,10.58823529,4.705882353,0,0
Scallops,100,104,18,8,0,0,10
Shad,85,200,23.52941176,11.76470588,0,0,0
Shrimp,85,129.4117647,27.05882353,1.176470588,0,0,0
Swordfish,100,180,27,6,0,0,0
Tuna,85,200,29.41176471,8.235294118,3.529411765,0,0
Artichoke,100,Aug-44,2,#VALUE!,#VALUE!,2,10
Asparagus,96,18.75,1.041666667,#VALUE!,#VALUE!,0.520833333,3.125
Beans,125,20,0.8,#VALUE!,#VALUE!,0.64,4.8
Lima,160,87.5,5,#VALUE!,#VALUE!,1.875,15
"Lima, dry, cooked",192,135.4166667,8.333333333,#VALUE!,#VALUE!,1.041666667,25
"Navy, baked with pork",200,125,5.5,3,3,1,18.5
Red kidney,260,88.46153846,5.769230769,0.384615385,0,0.961538462,16.15384615
Bean sprouts,50,34,2,#VALUE!,0,0.6,6
Beet greens,100,27,2,#VALUE!,0,1.4,6
Beetroots,165,0.606060606,7.272727273,0,0,#VALUE!,0.484848485
Broccoli,150,30,3.333333333,#VALUE!,0,1.266666667,5.333333333
Brussels sprouts,130,46.15384615,4.615384615,#VALUE!,0,1.307692308,9.230769231
Sauerkraut,150,21.33333333,0.666666667,#VALUE!,0,0.8,4.666666667
Steamed cabbage,170,23.52941176,1.176470588,#VALUE!,0,0.764705882,5.294117647
Carrots,150,30,0.666666667,#VALUE!,0,0.6,6.666666667
"Raw, grated",110,40.90909091,0.909090909,#VALUE!,0,1.090909091,9.090909091
"Strips, from raw",50,40,#VALUE!,#VALUE!,0,1,10
Cauliflower,120,25,2.5,#VALUE!,0,0.833333333,5
Celery,100,20,1,#VALUE!,0,1,4
Stalk raw,40,12.5,2.5,#VALUE!,0,0.75,2.5
Chard steamed,150,20,1.333333333,#VALUE!,0,0.933333333,4.666666667
Collards,150,34,3.333333333,#VALUE!,0,1.333333333,5.333333333
Corn,100,92,3,1,#VALUE!,0.8,21
cooked or canned,200,85,2.5,#VALUE!,0,0.8,20.5
Cucumbers,50,12,#VALUE!,0,0,0.4,2
Dandelion greens,180,44.44444444,2.777777778,0.555555556,0,1.777777778,8.888888889
Eggplant,180,16.66666667,1.111111111,#VALUE!,0,0.555555556,5
Endive,57,17.54385965,1.754385965,#VALUE!,0,1.052631579,3.50877193
Kale,110,40.90909091,3.636363636,0.909090909,0,0.818181818,7.272727273
Kohlrabi,140,28.57142857,1.428571429,#VALUE!,0,1.071428571,6.428571429
"Lambs quarters, steamed",150,32,3.333333333,#VALUE!,0,2.133333333,4.666666667
Lentils,200,106,7.5,#VALUE!,0,1.2,19
Lettuce,100,14,1,#VALUE!,0,0.5,2
Iceberg,100,13,#VALUE!,#VALUE!,0,0.5,3
Mushrooms canned,120,10,1.666666667,#VALUE!,0,#VALUE!,3.333333333
Mustard greens,140,21.42857143,2.142857143,#VALUE!,0,0.857142857,4.285714286
Okra,100,32,1,#VALUE!,0,1,7
Onions,210,38.0952381,0.952380952,#VALUE!,0,0.761904762,8.571428571
"Raw, green",50,44,#VALUE!,#VALUE!,0,2,10
Parsley,50,4,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!
Parsnips,155,61.29032258,1.290322581,0.64516129,0,1.935483871,14.19354839
Peas,100,66,3,#VALUE!,0,0.1,13
"Fresh, steamed peas",100,70,5,#VALUE!,0,2.2,12
Frozen peas,100,0,5,#VALUE!,0,1.8,12
Split cooked peas,100,115,8,#VALUE!,0,0.4,21
heated peas,100,53,3,#VALUE!,0,1,10
Peppers canned,38,26.31578947,#VALUE!,#VALUE!,0,#VALUE!,5.263157895
"Peppers Raw, green, sweet",100,25,1,#VALUE!,0,1.4,6
Peppers with beef and crumbs,150,170,12.66666667,6,5.333333333,0.666666667,16
"Potatoes, baked",100,100,2,#VALUE!,0,0.5,22
French-fried,60,258.3333333,-1.666666667,11.66666667,5,0.666666667,33.33333333
Potatoes Mashed with milk and butter,200,115,2,6,5.5,0.35,14
"Potatoes, pan-tried",100,268,4,14,6,0.4,33
Scalloped with cheese potatoes,100,145,6,8,7,0.4,14
Steamed potatoes before peeling,100,80,2,#VALUE!,0,0.4,19
Potato chips,20,550,5,35,20,#VALUE!,50
Radishes,50,20,#VALUE!,0,0,0.6,4
Rutabagas,100,32,#VALUE!,0,0,1.4,8
Soybeans,200,130,11,5.5,0,1.6,10
Spinach,100,26,3,#VALUE!,0,1,3
Squash,210,16.66666667,0.476190476,#VALUE!,0,0.285714286,3.80952381
"Winter, mashed",200,47.5,2,#VALUE!,0,1.3,11.5
Sweet potatoes,110,140.9090909,1.818181818,0.909090909,0,0.909090909,32.72727273
Candied,175,134.2857143,1.142857143,3.428571429,2.857142857,0.857142857,45.71428571
Tomatoes,240,20.83333333,0.833333333,#VALUE!,0,0.416666667,3.75
"Raw, 2 by 2 1/2",150,20,0.666666667,#VALUE!,0,0.4,4
Tomato juice,240,20.83333333,0.833333333,#VALUE!,0,0.25,4.166666667
Tomato catsup,17,88.23529412,#VALUE!,#VALUE!,0,#VALUE!,23.52941176
Turnip greens,145,31.03448276,2.75862069,0.689655172,0,1.24137931,5.517241379
"Turnips, steamed",155,25.80645161,0.64516129,#VALUE!,0,1.161290323,5.806451613
"Watercress stems, raw",50,18,2,#VALUE!,0,0.6,2
Apple juice canned,250,50,#VALUE!,0,0,0,13.6
Apple vinegar,100,14,#VALUE!,0,0,0,3
"Apples, raw",130,53.84615385,#VALUE!,#VALUE!,0,0.769230769,13.84615385
Stewed or canned,240,41.66666667,#VALUE!,#VALUE!,0,0.833333333,10.83333333
Apricots,250,88,0.8,#VALUE!,0,0.4,22.8
"Dried, uncooked",75,293.3333333,5.333333333,#VALUE!,0,1.333333333,66.66666667
Fresh,114,48.24561404,0.877192982,#VALUE!,0,0.614035088,12.28070175
"Nectar, or juice",250,56,0.4,#VALUE!,0,0.8,14.4
Avocado,108,171.2962963,1.851851852,16.66666667,11.11111111,1.666666667,5.555555556
Banana,150,56.66666667,0.666666667,#VALUE!,0,0.6,15.33333333
Blackberries,144,59.02777778,1.388888889,0.694444444,0,4.583333333,13.19444444
Blueberries,250,98,0.4,#VALUE!,0,0.8,26
Cantaloupe,380,10.52631579,0.263157895,#VALUE!,0,0.578947368,2.368421053
Cherries,257,38.91050584,0.778210117,0.389105058,0,0.778210117,10.11673152
"Fresh, raw",114,57.01754386,0.877192982,#VALUE!,0,0.701754386,13.15789474
Cranberry sauce sweetened,277,191.3357401,#VALUE!,#VALUE!,0,0.433212996,51.26353791
Dates,178,283.7078652,2.247191011,#VALUE!,0,2.02247191,75.28089888
Figs,42,285.7142857,4.761904762,#VALUE!,0,4.523809524,71.42857143
"Fresh, raw figs",114,78.94736842,1.754385965,#VALUE!,0,0.877192982,19.29824561
figs Canned with syrup ,115,113.0434783,0.869565217,#VALUE!,0,0.869565217,27.82608696
"Fruit cocktail, canned",256,76.171875,0.390625,#VALUE!,0,0.1953125,19.53125
Grapefruit sections,250,68,0.4,#VALUE!,0,0.2,17.6
"Grapefruit, fresh, 5"" diameter",285,17.54385965,0.350877193,#VALUE!,#VALUE!,0.350877193,4.912280702
Grapefruit juice,250,40,0.4,#VALUE!,0,0.4,9.6
Grapes,153,45.75163399,0.653594771,#VALUE!,0,0.522875817,10.45751634
"European, as Muscat, Tokay",160,62.5,0.625,#VALUE!,0,0.4375,16.25
Grape juice,250,64,0.4,#VALUE!,0,#VALUE!,16.8
Lemon juice,125,24,#VALUE!,#VALUE!,0,#VALUE!,8
Lemonade concentratefrozen,220,195.4545455,#VALUE!,#VALUE!,0,#VALUE!,50.90909091
